,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
286,Bryan Lasme,FRA,"FW,MF",Schalke 04,24,1998,27,13,"1,212",13.5,4,1,5,4,0,0,2,0,5.2,5.2,2.0,7.2,32,12,78,0.30,0.07,0.37,0.30,0.37,0.38,0.15,0.53,0.38,0.53
287,Danny Latza,GER,MF,Schalke 04,33,1989,11,2,277,3.1,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,2,17,17,0.32,0.00,0.32,0.32,0.32,0.12,0.06,0.18,0.12,0.18
288,James Lawrence,WAL,DF,Nürnberg,30,1992,3,2,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
289,Jamie Lawrence,GER,DF,Magdeburg,20,2002,11,4,474,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,6,32,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
290,Florian Le Joncour,FRA,DF,Elversberg,28,1995,14,13,"1,245",13.8,1,0,1,1,0,0,1,0,0.4,0.4,0.1,0.5,10,42,2,0.07,0.00,0.07,0.07,0.07,0.03,0.01,0.03,0.03,0.03
291,Robert Leipertz,GER,"DF,FW",Paderborn 07,30,1993,27,6,631,7.0,1,4,5,1,0,0,0,0,1.1,1.1,2.0,3.1,16,17,44,0.14,0.57,0.71,0.14,0.71,0.16,0.28,0.44,0.16,0.44
292,Toni Leistner,GER,DF,Hertha BSC,32,1990,24,23,"2,014",22.4,0,0,0,0,0,0,7,1,0.4,0.4,0.9,1.3,8,65,2,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06
293,Tim Lemperle,GER,"FW,DF",Greuther Fürth,21,2002,32,30,"2,358",26.2,6,5,11,6,0,1,2,0,8.2,7.4,3.7,11.1,73,76,219,0.23,0.19,0.42,0.23,0.42,0.31,0.14,0.46,0.28,0.43
294,Enzo Leopold,GER,MF,Hannover 96,23,2000,32,30,"2,547",28.3,3,4,7,3,0,0,3,0,1.3,1.3,6.0,7.2,29,152,82,0.11,0.14,0.25,0.11,0.25,0.04,0.21,0.26,0.04,0.26
295,Andreas Linde,SWE,GK,Greuther Fürth,30,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
296,Lex Lobinger,GER,FW,Osnabrück,24,1999,14,1,268,3.0,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,5,4,13,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24
297,Lex Lobinger,GER,"FW,MF",Kaiserslautern,24,1999,6,1,105,1.2,0,0,0,0,0,0,0,0,0.2,0.1,0.0,0.1,0,2,5,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.10,0.10
298,Felix Lohkemper,GER,FW,Nürnberg,28,1995,15,4,542,6.0,2,1,3,2,0,0,0,0,2.2,2.2,1.3,3.5,9,11,36,0.33,0.17,0.50,0.33,0.50,0.36,0.21,0.57,0.36,0.57
299,Ali Loune,MAR,"MF,FW",Nürnberg,21,2002,6,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,0,11,4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02
300,Jan Luca Schuler,GER,FW,Magdeburg,24,1999,28,24,"1,774",19.7,6,2,8,6,0,0,4,1,8.2,8.2,0.9,9.1,18,13,91,0.30,0.10,0.41,0.30,0.41,0.42,0.05,0.46,0.42,0.46
301,Anderson Lucoqui,ANG,DF,Hertha BSC,26,1997,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
302,Anderson Lucoqui,ANG,"DF,FW",Braunschweig,26,1997,10,3,382,4.2,0,0,0,0,0,0,2,0,0.5,0.5,0.5,1.0,16,13,20,0.00,0.00,0.00,0.00,0.00,0.12,0.13,0.24,0.12,0.24
303,Yannik Lührs,GER,DF,Hannover 96,19,2003,6,2,186,2.1,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,0,4,1,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20
304,Andreas Luthe,GER,GK,Kaiserslautern,36,1987,2,2,128,1.4,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
305,Shuto Machino,JPN,FW,Holstein Kiel,23,1999,31,25,"2,063",22.9,5,4,9,4,1,1,3,0,5.9,5.1,3.6,8.6,35,74,131,0.22,0.17,0.39,0.17,0.35,0.26,0.16,0.41,0.22,0.38
306,Haralambos Makridis,GRE,"FW,MF",Osnabrück,27,1996,24,9,"1,116",12.4,2,0,2,2,0,0,0,0,1.5,1.5,0.4,1.9,26,23,53,0.16,0.00,0.16,0.16,0.16,0.12,0.03,0.15,0.12,0.15
307,King Manu,GER,"DF,MF",Düsseldorf,19,2003,5,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
308,Stefano Marino,GER,"FW,DF",Karlsruher,19,2004,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.73,0.73,0.00,0.73
309,Iván Márquez,ESP,DF,Nürnberg,29,1994,21,15,"1,295",14.4,2,0,2,2,0,0,7,1,0.7,0.7,0.3,1.0,2,29,0,0.14,0.00,0.14,0.14,0.14,0.05,0.02,0.07,0.05,0.07
310,Dominik Martinović,GER,"FW,MF",Elversberg,26,1997,20,2,472,5.2,1,2,3,1,0,0,2,0,2.6,2.6,1.8,4.4,16,15,47,0.19,0.38,0.57,0.19,0.57,0.49,0.35,0.83,0.49,0.83
311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Jan-Hendrik Marx,GER,"DF,FW",Braunschweig,28,1995,7,6,349,3.9,0,0,0,0,0,0,2,0,0.0,0.0,0.8,0.8,2,15,22,0.00,0.00,0.00,0.00,0.00,0.01,0.20,0.21,0.01,0.21
313,Igor Matanovic,CRO,FW,Karlsruher,20,2003,32,27,"2,319",25.8,14,6,20,14,0,0,1,0,11.1,11.1,3.8,14.9,19,37,152,0.54,0.23,0.78,0.54,0.78,0.43,0.15,0.58,0.43,0.58
314,Christian Mathenia,GER,GK,Nürnberg,31,1992,15,15,"1,327",14.7,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
315,Marcus Mathisen,DEN,DF,Wehen,27,1996,31,31,"2,736",30.4,0,0,0,0,0,0,8,0,0.8,0.8,0.6,1.4,6,117,10,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05
316,Henning Matriciani,GER,DF,Schalke 04,23,2000,25,12,"1,253",13.9,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.7,23,52,43,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
317,Maurides,BRA,FW,St. Pauli,29,1994,7,0,59,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,1,2,5,0.00,0.00,0.00,0.00,0.00,0.09,0.27,0.36,0.09,0.36
318,Keke Maximilian Topp,GER,FW,Schalke 04,19,2004,25,11,"1,085",12.1,5,2,7,5,0,0,4,0,2.7,2.7,1.5,4.2,22,27,81,0.41,0.17,0.58,0.41,0.58,0.23,0.12,0.35,0.23,0.35
319,Ibrahim Maza,GER,MF,Hertha BSC,17,2005,13,6,593,6.6,1,2,3,1,0,0,1,0,1.0,1.0,2.4,3.3,21,29,35,0.15,0.30,0.46,0.15,0.46,0.15,0.36,0.51,0.15,0.51
320,Jakov Medić,CRO,DF,St. Pauli,24,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
321,Joshua Mees,GER,"FW,MF",Holstein Kiel,27,1996,13,3,442,4.9,1,1,2,1,0,0,2,0,1.7,1.7,0.5,2.2,18,14,46,0.20,0.20,0.41,0.20,0.41,0.34,0.10,0.45,0.34,0.45
322,Jonas Meffert,GER,MF,Hamburger SV,28,1994,32,32,"2,816",31.3,2,2,4,2,0,0,10,0,1.3,1.3,1.9,3.2,25,178,37,0.06,0.06,0.13,0.06,0.13,0.04,0.06,0.10,0.04,0.10
323,Omar Megeed,GER,FW,Hamburger SV,17,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
324,Connor Metcalfe,AUS,"FW,MF",St. Pauli,23,1999,30,21,"1,848",20.5,3,5,8,3,0,0,6,0,3.3,3.3,2.7,5.9,46,94,178,0.15,0.24,0.39,0.15,0.39,0.16,0.13,0.29,0.16,0.29
325,Karol Mets,EST,DF,St. Pauli,30,1993,32,32,"2,862",31.8,0,0,0,0,0,0,1,1,0.5,0.5,1.1,1.5,24,186,6,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05
326,Marco Meyerhöfer,GER,DF,Greuther Fürth,27,1995,21,11,"1,141",12.7,0,0,0,0,0,0,2,0,0.6,0.6,0.6,1.2,25,59,49,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10
327,Oualid Mhamdi,MAR,DF,Greuther Fürth,20,2003,10,1,245,2.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,19,12,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.03,0.04
328,Damian Michalski,POL,DF,Greuther Fürth,25,1998,29,22,"2,057",22.9,3,1,4,3,0,0,4,0,1.4,1.3,0.7,2.0,5,63,5,0.13,0.04,0.18,0.13,0.18,0.06,0.03,0.09,0.06,0.09
329,William Mikelbrencis,FRA,DF,Hamburger SV,19,2004,6,4,391,4.3,0,0,0,0,0,0,3,0,0.1,0.1,0.6,0.7,21,34,25,0.00,0.00,0.00,0.00,0.00,0.02,0.14,0.16,0.02,0.16
330,Sascha Mockenhaupt,GER,DF,Wehen,31,1991,32,21,"1,928",21.4,0,0,0,0,0,0,3,0,0.4,0.4,0.9,1.2,35,80,80,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06
331,Tobias Mohr,GER,"MF,DF",Schalke 04,27,1995,19,10,"1,044",11.6,1,1,2,1,0,0,2,0,1.4,1.4,1.9,3.4,24,55,56,0.09,0.09,0.17,0.09,0.17,0.12,0.17,0.29,0.12,0.29
332,Monju Momuluh,GER,DF,Hannover 96,21,2002,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
333,Miro Muheim,SUI,DF,Hamburger SV,25,1998,28,26,"2,207",24.5,5,5,10,5,0,0,7,1,1.2,1.2,4.4,5.6,89,222,100,0.20,0.20,0.41,0.20,0.41,0.05,0.18,0.23,0.05,0.23
334,Joey Müller,GER,DF,Schalke 04,22,2000,1,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
335,Marius Müller,GER,GK,Schalke 04,30,1993,21,21,"1,844",20.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
336,Philipp Müller,GER,MF,Greuther Fürth,19,2004,6,2,191,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,11,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02
337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Tobias Müller,GER,DF,Paderborn 07,29,1994,10,7,667,7.4,0,0,0,0,0,0,1,0,0.3,0.3,0.6,0.9,2,10,1,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12,0.04,0.12
339,Tobias Müller,GER,DF,Magdeburg,29,1994,15,15,"1,268",14.1,1,0,1,1,0,0,5,0,0.7,0.7,0.2,0.9,17,61,4,0.07,0.00,0.07,0.07,0.07,0.05,0.01,0.06,0.05,0.06
340,Maurice Multhaup,GER,"FW,DF",Braunschweig,26,1996,8,3,320,3.6,0,1,1,0,0,0,0,0,1.0,1.0,0.6,1.6,7,4,30,0.00,0.28,0.28,0.00,0.28,0.29,0.17,0.46,0.29,0.46
341,Derry Murkin,ENG,"DF,FW",Schalke 04,24,1999,23,21,"1,838",20.4,1,6,7,1,0,0,8,1,0.5,0.5,2.8,3.3,33,83,83,0.05,0.29,0.34,0.05,0.34,0.03,0.14,0.16,0.03,0.16
342,Sei Muroya,JPN,DF,Hannover 96,29,1994,25,15,"1,529",17.0,2,3,5,2,0,0,3,0,1.5,1.5,3.5,5.0,47,69,102,0.12,0.18,0.29,0.12,0.29,0.09,0.20,0.29,0.09,0.29
343,Florent Muslija,KVX,"MF,DF",Paderborn 07,25,1998,16,15,"1,253",13.9,7,4,11,6,1,1,3,0,3.4,2.6,4.7,7.3,60,74,84,0.50,0.29,0.79,0.43,0.72,0.25,0.34,0.58,0.19,0.53
344,Visar Musliu,MKD,DF,Paderborn 07,28,1994,26,23,"1,989",22.1,3,0,3,3,0,0,3,1,2.4,2.4,0.1,2.5,8,68,0,0.14,0.00,0.14,0.14,0.14,0.11,0.01,0.12,0.11,0.12
345,Marlon Mustapha,AUT,FW,Düsseldorf,22,2001,10,2,295,3.3,2,1,3,2,0,0,1,0,2.0,2.0,0.7,2.7,4,5,21,0.61,0.31,0.92,0.61,0.92,0.62,0.21,0.83,0.62,0.83
346,Mats Møller Dæhli,NOR,MF,Nürnberg,28,1995,8,4,393,4.4,0,1,1,0,0,0,2,0,0.1,0.1,0.8,0.9,9,19,23,0.00,0.23,0.23,0.00,0.23,0.02,0.18,0.20,0.02,0.20
347,Niclas Nadj,GER,"MF,FW",Paderborn 07,22,2000,7,2,226,2.5,1,1,2,1,0,0,0,0,0.8,0.8,0.2,1.0,1,12,20,0.40,0.40,0.80,0.40,0.80,0.31,0.08,0.39,0.31,0.39
348,Montell Ndikom,GER,FW,Hannover 96,18,2005,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
349,Paul Nebel,GER,MF,Karlsruher,20,2002,33,33,"2,770",30.8,5,9,14,5,0,0,6,0,5.1,5.1,8.6,13.7,69,132,193,0.16,0.29,0.45,0.16,0.45,0.17,0.28,0.44,0.17,0.44
350,Nico Neidhart,GER,"DF,MF",Hansa Rostock,28,1994,21,20,"1,658",18.4,2,0,2,2,0,0,4,0,1.9,1.9,1.2,3.1,31,97,53,0.11,0.00,0.11,0.11,0.11,0.10,0.07,0.17,0.10,0.17
351,András Németh,HUN,"FW,MF",Hamburger SV,20,2002,28,4,566,6.3,0,0,0,0,0,0,0,0,3.7,3.7,1.0,4.7,11,13,27,0.00,0.00,0.00,0.00,0.00,0.59,0.16,0.75,0.59,0.75
352,David Nemeth,AUT,DF,St. Pauli,22,2001,7,4,427,4.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,3,10,0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
353,Maurice Neubauer,GER,DF,Elversberg,27,1996,30,30,"2,699",30.0,3,1,4,3,0,0,4,0,0.9,0.9,2.7,3.5,78,113,102,0.10,0.03,0.13,0.10,0.13,0.03,0.09,0.12,0.03,0.12
354,Phil Neumann,GER,DF,Hannover 96,26,1997,32,32,"2,879",32.0,2,2,4,2,0,0,6,0,1.2,1.2,1.3,2.5,68,139,28,0.06,0.06,0.13,0.06,0.13,0.04,0.04,0.08,0.04,0.08
355,Florian Niederlechner,GER,"MF,FW",Hertha BSC,32,1990,26,12,"1,028",11.4,7,0,7,7,0,0,6,2,3.9,3.9,1.5,5.3,6,34,43,0.61,0.00,0.61,0.61,0.61,0.34,0.13,0.47,0.34,0.47
356,Niklas Niehoff,GER,FW,Holstein Kiel,18,2004,4,0,55,0.6,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,3,1,7,1.64,0.00,1.64,1.64,1.64,0.39,0.00,0.39,0.39,0.39
